,category,name,count,p_count
2,q68,3) 보통이다,190,38.0%
3,q68,4) 그렇다,212,42.4%
4,q68,5) 매우 그렇다,48,9.6%
0,q69,1) 전혀 그렇지 않다,11,2.1999999999999997%
1,q69,2) 그렇지 않다,42,8.4%
2,q69,3) 보통이다,166,33.2%
3,q69,4) 그렇다,219,43.8%
4,q69,5) 매우 그렇다,62,12.4%
0,q70,1) 전혀 그렇지 않다,2,0.4%
1,q70,2) 그렇지 않다,56,11.200000000000001%
2,q70,3) 보통이다,136,27.200000000000003%
3,q70,4) 그렇다,264,52.800000000000004%
4,q70,5) 매우 그렇다,42,8.4%
0,q71,1) 전혀 그렇지 않다,3,0.6%
1,q71,2) 그렇지 않다,53,10.6%
2,q71,3) 보통이다,143,28.599999999999998%
3,q71,4) 그렇다,240,48.0%
4,q71,5) 매우 그렇다,61,12.2%
0,q72,1) 전혀 그렇지 않다,7,1.4000000000000001%
1,q72,2) 그렇지 않다,56,11.200000000000001%
2,q72,3) 보통이다,124,24.8%
3,q72,4) 그렇다,248,49.6%
4,q72,5) 매우 그렇다,65,13.0%
0,q73,1) 전혀 그렇지 않다,5,1.0%
1,q73,2) 그렇지 않다,40,8.0%
2,q73,3) 보통이다,125,25.0%
3,q73,4) 그렇다,261,52.2%
4,q73,5) 매우 그렇다,69,13.8%
0,q74,1) 전혀 그렇지 않다,71,14.2%
1,q74,2) 그렇지 않다,194,38.800000000000004%
2,q74,3) 보통이다,153,30.599999999999998%
3,q74,4) 그렇다,66,13.200000000000001%
4,q74,5) 매우 그렇다,16,3.2%
0,q75,1) 전혀 그렇지 않다,31,6.2%
1,q75,2) 그렇지 않다,109,21.8%
2,q75,3) 보통이다,218,43.6%
3,q75,4) 그렇다,104,20.8%
4,q75,5) 매우 그렇다,38,7.6%
0,q76,1) 전혀 그렇지 않다,62,12.4%
1,q76,2) 그렇지 않다,211,42.199999999999996%
2,q76,3) 보통이다,148,29.599999999999998%
3,q76,4) 그렇다,66,13.200000000000001%
4,q76,5) 매우 그렇다,13,2.6%
0,q77,1) 전혀 그렇지 않다,56,11.200000000000001%
1,q77,2) 그렇지 않다,200,40.0%
2,q77,3) 보통이다,179,35.8%
3,q77,4) 그렇다,49,9.8%
4,q77,5) 매우 그렇다,16,3.2%
0,q78,1) 전혀 그렇지 않다,56,11.200000000000001%
1,q78,2) 그렇지 않다,179,35.8%
2,q78,3) 보통이다,189,37.8%
3,q78,4) 그렇다,64,12.8%
4,q78,5) 매우 그렇다,12,2.4%
0,q79,1) 전혀 그렇지 않다,39,7.8%
1,q79,2) 그렇지 않다,147,29.4%
2,q79,3) 보통이다,212,42.4%
